Id_Reference,Nom_Intersection,Date,Periode,Heure,Minute,NBLT,NBT,NBRT,SBLT,SBT,SBRT,EBLT,EBT,EBRT,WBLT,WBT,WBRT,Approche_Nord,Approche_Sud,Approche_Est,Approche_Ouest,Bus,Circulation
8784,Métropolitain Nord / Provencher,2019-10-29,05:30:00,5,30,16,18,0,0,20,24,0,0,0,14,225,7,0,0,0,0,460,324
8785,Métropolitain Nord / Provencher,2019-10-30,05:30:00,5,30,20,13,0,0,30,19,0,0,0,10,186,13,0,0,0,0,460,291
8786,Métropolitain Nord / Provencher,2019-10-31,05:30:00,5,30,17,7,0,0,23,23,0,0,0,13,158,10,0,0,0,0,460,251
8709,Pie-IX / Rouen,2019-11-06,05:45:00,5,45,1,30,8,13,98,11,4,7,3,9,10,1,0,0,0,0,139_439,195
8784,Métropolitain Nord / Provencher,2019-10-29,05:45:00,5,45,13,11,0,0,28,31,0,0,0,26,283,8,0,0,0,0,460,400
8785,Métropolitain Nord / Provencher,2019-10-30,05:45:00,5,45,22,16,0,0,21,38,0,0,0,20,243,5,0,0,0,0,460,365
8786,Métropolitain Nord / Provencher,2019-10-31,05:45:00,5,45,20,18,0,0,24,36,0,0,0,16,233,4,0,0,0,0,460,351
8705,Pie-IX / Rouen,2019-11-05,05:45:00,5,45,4,34,10,13,116,9,1,6,1,6,5,1,0,0,0,0,139_439,206
8713,Pie-IX / Rouen,2019-11-07,05:45:00,5,45,1,30,9,12,124,6,4,2,1,6,3,0,0,0,0,0,139_439,198
8709,Pie-IX / Rouen,2019-11-06,06:00:00,6,0,5,30,12,12,153,11,6,6,3,6,10,0,0,0,0,0,139_439,254
8784,Métropolitain Nord / Provencher,2019-10-29,06:00:00,6,0,38,17,0,0,38,36,0,0,0,25,313,6,0,0,0,0,460,473
8785,Métropolitain Nord / Provencher,2019-10-30,06:00:00,6,0,29,17,0,0,36,31,0,0,0,30,331,7,0,0,0,0,460,481
8786,Métropolitain Nord / Provencher,2019-10-31,06:00:00,6,0,30,12,0,0,28,33,0,0,0,28,273,7,0,0,0,0,460,411
8705,Pie-IX / Rouen,2019-11-05,06:00:00,6,0,3,32,11,12,124,7,2,7,4,10,10,0,0,0,0,0,139_439,222
8713,Pie-IX / Rouen,2019-11-07,06:00:00,6,0,6,24,4,9,141,7,4,7,4,7,12,2,0,0,0,0,139_439,227
8709,Pie-IX / Rouen,2019-11-06,06:15:00,6,15,4,45,6,6,176,7,3,6,3,10,12,3,0,0,0,0,139_439,281
8784,Métropolitain Nord / Provencher,2019-10-29,06:15:00,6,15,29,20,0,0,32,36,0,0,0,14,375,13,0,0,0,0,460,519
8785,Métropolitain Nord / Provencher,2019-10-30,06:15:00,6,15,24,18,0,0,37,39,0,0,0,29,356,8,0,0,0,0,460,511
8786,Métropolitain Nord / Provencher,2019-10-31,06:15:00,6,15,23,26,0,0,35,28,0,0,0,29,339,10,0,0,0,0,460,490
8705,Pie-IX / Rouen,2019-11-05,06:15:00,6,15,5,44,13,12,191,3,5,7,3,9,14,3,0,0,0,0,139_439,309
8713,Pie-IX / Rouen,2019-11-07,06:15:00,6,15,0,48,13,11,181,4,1,10,3,12,9,4,0,0,0,0,139_439,296
8709,Pie-IX / Rouen,2019-11-06,06:30:00,6,30,4,38,7,20,183,14,1,9,4,13,27,6,0,0,0,0,139_439,326
8784,Métropolitain Nord / Provencher,2019-10-29,06:30:00,6,30,45,21,0,0,46,58,0,0,0,32,343,6,0,0,0,0,460,551
8785,Métropolitain Nord / Provencher,2019-10-30,06:30:00,6,30,29,26,0,0,52,61,0,0,0,29,375,4,0,0,0,0,460,576
8786,Métropolitain Nord / Provencher,2019-10-31,06:30:00,6,30,36,24,0,0,63,69,0,0,0,26,308,5,0,0,0,0,460,531
